,FaqID,Val,GrpID
0,123855,3,0
1,82644,4,0
2,13285,4,0
3,2637,4,0
4,42908,4,0
5,126709,4,0
6,136519,4,0
7,77890,4,0
8,116207,4,0
9,114056,4,0
10,79373,4,0
11,19196,4,0
12,130383,4,0
13,54868,4,0
14,26148,4,0
15,137982,4,0
16,101257,4,0
17,109776,4,0
18,29503,4,0
19,115024,4,0
20,74265,4,0
21,74112,4,0
22,37275,4,0
23,29869,4,0
24,86296,4,0
25,56874,4,0
26,10006,1,0
27,138398,4,0
28,16374,4,0
29,79526,4,0
30,84879,4,0
31,109879,4,0
32,70167,4,0
33,85215,4,0
34,110540,4,0
35,26150,4,0
36,138669,4,0
37,129589,1,0
38,118582,4,0
39,3470,4,0
40,92959,4,0
41,83361,4,0
42,42505,4,0
43,1395,4,0
44,14567,4,0
45,20633,4,0
46,36562,4,0
47,45516,4,0
48,4513,4,0
49,131244,4,0
50,43,2,0
51,58312,4,0
52,106411,2,0
53,111366,4,0
54,105726,4,0
55,40108,4,0
56,114610,4,0
57,110909,4,0
58,13669,4,0
59,55605,4,0
60,139274,4,0
61,129638,4,0
62,139348,4,0
63,1130,4,0
64,19742,4,0
65,111940,4,0
66,132516,4,0
67,138807,4,0
68,89772,4,0
69,58211,4,0
70,128068,4,0
71,129704,4,0
72,8918,4,0
73,34934,4,0
74,35829,4,0
75,110794,4,0
76,25012,4,0
77,11439,4,0
78,68868,4,0
79,77219,4,0
80,64643,4,0
81,863,4,0
82,70272,4,0
83,96180,4,0
84,4290,4,0
85,85206,4,0
86,12320,4,0
87,11144,3,0
88,3968,4,0
89,122659,4,0
90,22829,2,0
91,136400,4,0
92,72986,4,0
93,133857,4,0
94,115000,4,0
95,94149,4,0
96,5497,4,0
97,57539,4,0
98,95767,4,0
99,15482,4,0
100,94534,4,0
101,65119,4,0
102,130332,4,0
103,116840,4,0
104,25972,4,0
105,35183,4,0
106,39269,4,0
107,64007,4,0
108,72332,4,0
109,57245,4,0
110,62861,4,0
111,103180,4,0
112,95414,4,0
113,96083,4,0
114,97409,4,0
115,62139,4,0
116,2020,4,0
117,130981,4,0
118,82515,4,0
119,87364,4,0
120,48169,4,0
121,42497,4,0
122,35808,4,0
123,58549,1,0
124,130104,4,0
125,136579,4,0
126,77747,4,0
127,100395,4,0
128,46468,1,0
129,12044,4,0
130,18463,4,0
131,63498,4,0
132,23254,1,0
133,47242,4,0
134,69552,4,0
135,103497,2,0
136,72741,4,0
137,48052,4,0
138,95221,4,0
139,58520,4,0
140,88044,4,0
141,80904,4,0
142,99836,4,0
143,57727,4,0
144,65104,4,0
145,3932,2,0
146,82421,4,0
147,75342,2,0
148,99691,4,0
149,85918,4,0
150,460,4,0
151,111979,4,0
152,41625,4,0
153,108145,4,0
154,102428,4,0
155,97197,4,0
156,11302,4,0
157,32622,4,0
158,130462,4,0
159,35909,4,0
160,79445,4,0
161,61003,4,0
162,40807,1,0
163,70271,4,0
164,82704,2,0
165,6661,2,0
166,126978,4,0
167,61706,4,0
168,45945,4,0
169,86626,4,0
170,141510,4,0
171,29738,4,0
172,44044,4,0
173,20504,4,0
174,98313,1,0
175,76725,4,0
176,132124,4,0
177,85207,4,0
178,44522,4,0
179,119878,4,0
180,140153,4,0
181,136962,4,0
182,19796,4,0
183,64272,4,0
184,106314,2,0
185,103860,4,0
186,1525,4,0
187,141117,4,0
188,126855,4,0
189,76190,4,0
190,69717,4,0
191,138745,4,0
192,94173,4,0
193,24926,4,0
194,71777,4,0
195,33232,4,0
196,93026,4,0
197,141676,4,0
198,11829,4,0
199,47144,4,0
200,62535,4,0
201,47169,4,0
202,116193,4,0
203,2495,4,0
204,53785,2,0
205,78857,4,0
206,98120,4,0
207,68654,4,0
208,85517,4,0
209,140614,4,0
210,43644,4,0
211,88110,4,0
212,36808,4,0
213,63845,4,0
214,104519,4,0
215,102820,4,0
216,9193,4,0
217,102463,4,0
218,87439,4,0
219,32234,4,0
220,59291,4,0
221,14436,4,0
222,19650,4,0
223,39327,4,0
224,8687,4,0
225,95985,2,0
226,98443,4,0
227,60357,4,1
228,116912,2,1
229,98123,3,1
230,142289,4,1
231,68608,4,1
232,28655,4,1
233,33800,2,1
234,13356,4,1
235,102736,4,1
236,99812,4,1
237,112502,4,1
238,76887,4,1
239,139218,4,1
240,34421,4,1
241,18721,4,1
242,44981,4,1
243,82515,4,1
244,131257,4,1
245,38963,4,1
246,130110,4,1
247,139917,4,1
248,123608,4,1
249,43792,2,1
250,90072,4,1
251,56495,4,1
252,138578,4,1
253,73420,4,1
254,57755,4,1
255,111536,4,1
256,104881,4,1
257,55725,4,1
258,85218,4,1
259,36147,4,1
260,101361,4,1
261,105485,4,1
262,131940,4,1
263,110610,4,1
264,5085,4,1
265,76144,4,1
266,47875,4,1
267,45422,4,1
268,21543,4,1
269,47169,4,1
270,131932,4,1
271,119942,4,1
272,128332,4,1
273,120493,1,1
274,117793,4,1
275,111320,4,1
276,78947,4,1
277,73840,4,1
278,20264,4,1
279,78850,2,1
280,130293,4,1
281,23671,4,1
282,3968,4,1
283,13063,4,1
284,43219,2,1
285,4980,4,1
286,2010,4,1
287,49956,2,1
288,25667,4,1
289,23875,4,1
290,28660,4,1
291,47669,4,1
292,87083,4,1
293,105016,4,1
294,84946,4,1
295,78265,4,1
296,66066,1,1
297,71399,4,1
298,7886,4,1
299,140874,2,1
300,78935,4,1
301,95591,2,1
302,47119,4,1
303,52480,4,1
304,133806,2,1
305,46596,4,1
306,83569,4,1
307,3215,4,1
308,32208,4,1
309,78863,4,1
310,71777,4,1
311,2637,4,1
312,44255,4,1
313,3012,1,1
314,126482,4,1
315,4513,4,1
316,9694,4,1
317,138143,2,1
318,28503,4,1
319,107674,2,1
320,106767,2,1
321,72048,4,1
322,96561,4,1
323,64067,4,1
324,100285,4,1
325,102222,4,1
326,14436,4,1
327,49263,4,1
328,68518,4,1
329,129397,4,1
330,103826,4,1
331,22819,4,1
332,122477,4,1
333,32932,4,1
334,116781,4,1
335,101792,4,1
336,48263,4,1
337,126118,4,1
338,50264,4,1
339,80315,4,1
340,112101,4,1
341,54153,4,1
342,135718,4,1
343,133084,4,1
344,108351,2,1
345,97337,4,1
346,136715,4,1
347,61843,2,1
348,72503,4,1
349,128329,4,1
350,107403,4,1
351,88555,4,1
352,44135,4,1
353,113018,4,1
354,47082,4,1
355,69147,4,1
356,127530,4,1
357,45590,4,1
358,45412,4,1
359,131352,4,1
360,6564,4,1
361,126211,4,1
362,21773,4,1
363,32259,4,1
364,35909,4,1
365,138991,4,1
366,22031,4,1
367,97044,4,1
368,94056,4,1
369,50972,4,1
370,45014,4,1
371,26786,2,1
372,19760,4,1
373,120351,4,1
374,25389,4,1
375,27165,2,1
376,24160,4,1
377,100150,4,1
378,10551,3,1
379,120781,4,1
380,61134,4,1
381,17967,2,1
382,85436,4,1
383,39303,4,1
384,120914,4,1
385,11495,4,1
386,38404,4,1
387,109432,4,1
388,20554,4,1
389,30677,4,1
390,86221,4,1
391,45216,4,1
392,64242,4,1
393,110019,4,1
394,9543,4,1
395,71139,4,1
396,87543,4,1
397,139367,2,1
398,141343,4,1
399,115533,4,1
400,68556,4,1
401,1844,4,1
402,25829,4,1
403,49929,4,1
404,105052,4,1
405,25548,4,1
406,32288,4,1
407,78916,4,1
408,111217,2,1
409,113205,4,1
410,73339,4,1
411,2495,4,1
412,20490,4,1
413,39694,4,1
414,45238,4,1
415,83682,4,1
416,53375,4,1
417,116805,4,1
418,112961,4,1
419,133824,4,1
420,45516,4,1
421,55572,2,1
422,65545,4,1
423,94041,4,1
424,6728,2,1
425,133793,2,1
